,"Przewozy pasażerskie/ Passenger transport
Udział przewoźników wg liczby pasażerów/ Share of RUs in terms of number of passengers",,
,,,
,,,
,,,
rok/ year,miesiąc/ month,Przewoźnicy/ Railway carriers,udział wg liczby pasażerów/ share by number of passengers
2012, styczeń-sierpień/ January-August,Koleje Mazowieckie - KM,21.27%
2012, styczeń-sierpień/ January-August,PKP Szybka Kolej Miejska w Trójmieście,13.66%
2012, styczeń-sierpień/ January-August,PKP Intercity,13.14%
2012, styczeń-sierpień/ January-August,Szybka Kolej Miejska - Warszawa,5.98%
2012, styczeń-sierpień/ January-August,Koleje Śląskie,3.05%
2012, styczeń-sierpień/ January-August,Warszawska Kolej Dojazdowa,2.61%
2012, styczeń-sierpień/ January-August,Koleje Wielkopolskie,1.29%
2012, styczeń-sierpień/ January-August,Arriva RP,0.91%
2012, styczeń-sierpień/ January-August,Koleje Dolnośląskie,0.66%
2012, styczeń-sierpień/ January-August,Pozostali/ Others,0.21%
2012, styczeń-wrzesień/ January-September,Polregio,37.24%
2012, styczeń-wrzesień/ January-September,Koleje Mazowieckie - KM,21.41%
2012, styczeń-wrzesień/ January-September,PKP Szybka Kolej Miejska w Trójmieście,13.51%
2012, styczeń-wrzesień/ January-September,PKP Intercity,13.05%
2012, styczeń-wrzesień/ January-September,Szybka Kolej Miejska - Warszawa,6.06%
2012, styczeń-wrzesień/ January-September,Koleje Śląskie,3.06%
2012, styczeń-wrzesień/ January-September,Warszawska Kolej Dojazdowa,2.60%
2012, styczeń-wrzesień/ January-September,Koleje Wielkopolskie,1.28%
2012, styczeń-wrzesień/ January-September,Arriva RP,0.91%
2012, styczeń-wrzesień/ January-September,Koleje Dolnośląskie,0.66%
2012, styczeń-wrzesień/ January-September,Pozostali/ Others,0.21%
2012, styczeń-październik/ January-October,Polregio,37.19%
2012, styczeń-październik/ January-October,Koleje Mazowieckie - KM,21.39%
2012, styczeń-październik/ January-October,PKP Szybka Kolej Miejska w Trójmieście,13.56%
2012, styczeń-październik/ January-October,PKP Intercity,12.97%
2012, styczeń-październik/ January-October,Szybka Kolej Miejska - Warszawa,6.16%
2012, styczeń-październik/ January-October,Koleje Śląskie,3.11%
2012, styczeń-październik/ January-October,Warszawska Kolej Dojazdowa,2.60%
2012, styczeń-październik/ January-October,Koleje Wielkopolskie,1.25%
2012, styczeń-październik/ January-October,Arriva RP,0.91%
2012, styczeń-październik/ January-October,Koleje Dolnośląskie,0.66%
