"Stacja","Województwo"
"Łódź Warszawska","łódzkie"
"Łódź Warszawska ","łódzkie"
"Łódź Arturówek","łódzkie"
"Łódź Arturówek ","łódzkie"
"Łódź Radogoszcz Wschód","łódzkie"
"Łódź Radogoszcz Wschód ","łódzkie"
"Bolechowo","wielkopolskie"
"Bolechowo ","wielkopolskie"
"Czerwonak Osiedle","wielkopolskie"
"Czerwonak Osiedle ","wielkopolskie"
"Owińska","wielkopolskie"
"Owińska ","wielkopolskie"
"Złotniki","wielkopolskie"
"Złotniki ","wielkopolskie"
"Mikołów Jamna","śląskie"
"Mikołów Jamna ","śląskie"
"Oborniki Wielkopolskie","wielkopolskie"
"Oborniki Wielkopolskie ","wielkopolskie"
"Łaziska Górne Brada","śląskie"
"Łaziska Górne Brada ","śląskie"
"Poznań Podolany","wielkopolskie"
"Poznań Podolany ","wielkopolskie"
"Poznań Strzeszyn","wielkopolskie"
"Poznań Strzeszyn ","wielkopolskie"
"Wargowo","wielkopolskie"
"Wargowo ","wielkopolskie"
"Bogdanowo","wielkopolskie"
"Bogdanowo ","wielkopolskie"
"Golęczewo","wielkopolskie"
"Golęczewo ","wielkopolskie"
"Złotniki Grzybowe","wielkopolskie"
"Złotniki Grzybowe ","wielkopolskie"
"Złotkowo","wielkopolskie"
"Złotkowo ","wielkopolskie"
"Chludowo","wielkopolskie"
"Chludowo ","wielkopolskie"
"Żary","lubuskie"
"Żary ","lubuskie"
"Borowa Oleśnicka","dolnośląskie"
"Borowa Oleśnicka ","dolnośląskie"
"Brzeźnica","lubuskie"
"Brzeźnica ","lubuskie"
"Cierpice Kąkol","kujawsko-pomorskie"
"Cierpice Kąkol ","kujawsko-pomorskie"
"Zator Park Rozrywki","małopolskie"
"Zator Park Rozrywki ","małopolskie"
"Jaśkowice","małopolskie"
"Jaśkowice ","małopolskie"
"Zelczyna","małopolskie"
"Zelczyna ","małopolskie"
"Wielkie Drogi","małopolskie"
"Wielkie Drogi ","małopolskie"
"Skawina Zachodnia","małopolskie"
"Skawina Zachodnia ","małopolskie"
"Podbory Skawińskie","małopolskie"
"Podbory Skawińskie ","małopolskie"
"Goczałkowice-Zdrój","śląskie"
"Goczałkowice-Zdrój ","śląskie"
"Dwory","małopolskie"
"Dwory ","małopolskie"
"Przeciszów","małopolskie"
"Przeciszów ","małopolskie"
"Włosienica","małopolskie"
"Włosienica ","małopolskie"
"Spytkowice","małopolskie"
"Spytkowice ","małopolskie"
"Czerwionka Dębieńsko","śląskie"
"Czerwionka Dębieńsko ","śląskie"
"Zator","małopolskie"
"Zator ","małopolskie"
"Spytkowice Kępki","małopolskie"
"Spytkowice Kępki ","małopolskie"
"Ryczów","małopolskie"
"Ryczów ","małopolskie"
"Półwieś","opolskie"
"Półwieś ","opolskie"
"Dzierżoniów Śląski","dolnośląskie"
"Dzierżoniów Śląski ","dolnośląskie"
"Różyny","pomorskie"
"Różyny ","pomorskie"
"Skowarcz","pomorskie"
"Skowarcz ","pomorskie"
"Przecza","opolskie"
"Przecza ","opolskie"
"Dąbrowa Niemodlińska","opolskie"
"Dąbrowa Niemodlińska ","opolskie"
"Chróścina Opolska","opolskie"
"Chróścina Opolska ","opolskie"
"Łosiów","opolskie"
"Łosiów ","opolskie"
"Lewin Brzeski","opolskie"
"Lewin Brzeski ","opolskie"
"Rogoźnica koło Rzeszowa","podkarpackie"
"Rogoźnica koło Rzeszowa ","podkarpackie"
"Głogów Małopolski Niwa","podkarpackie"
"Głogów Małopolski Niwa ","podkarpackie"
"Głogów Małopolski","podkarpackie"
"Głogów Małopolski ","podkarpackie"
"Goleszów","śląskie"
"Goleszów ","śląskie"
"Kolbuszowa Górna","podkarpackie"
"Kolbuszowa Górna ","podkarpackie"
"Widełka","podkarpackie"
"Widełka ","podkarpackie"
"Budy Głogowskie","podkarpackie"
"Budy Głogowskie ","podkarpackie"
"Prostyń","mazowieckie"
"Prostyń ","mazowieckie"
"Topór","mazowieckie"
"Topór ","mazowieckie"
"Sadowne Węgrowskie","mazowieckie"
"Sadowne Węgrowskie ","mazowieckie"
"Ostrówek Węgrowski","mazowieckie"
"Ostrówek Węgrowski ","mazowieckie"
"Poznań Karolin","wielkopolskie"
"Poznań Karolin ","wielkopolskie"
"Wrocław Osobowice","dolnośląskie"
"Wrocław Osobowice ","dolnośląskie"
"Zgierz Północ","łódzkie"
"Zgierz Północ ","łódzkie"
"Wrocław Różanka","dolnośląskie"
"Wrocław Różanka ","dolnośląskie"
"Wrocław Popowice","dolnośląskie"
"Wrocław Popowice ","dolnośląskie"
"Szewce","dolnośląskie"
"Szewce ","dolnośląskie"
"Pęgów","dolnośląskie"
"Pęgów ","dolnośląskie"
"Wrocław Świniary","dolnośląskie"
"Wrocław Świniary ","dolnośląskie"
"Korzeńsko","dolnośląskie"
"Korzeńsko ","dolnośląskie"
"Garbce","dolnośląskie"
"Garbce ","dolnośląskie"
"Zielone Wzgórza","dolnośląskie"
"Zielone Wzgórza ","dolnośląskie"
"Skokowa","dolnośląskie"
"Skokowa ","dolnośląskie"
"Osola","dolnośląskie"
"Osola ","dolnośląskie"
"Wągrowiec","wielkopolskie"
"Wągrowiec ","wielkopolskie"
"Sława Wielkopolska","wielkopolskie"
"Sława Wielkopolska ","wielkopolskie"
"Tychy Żwaków","śląskie"
"Tychy Żwaków ","śląskie"
"Przebędowo","wielkopolskie"
"Przebędowo ","wielkopolskie"
"Skoki","wielkopolskie"
"Skoki ","wielkopolskie"
"Pietrzykowice Żywieckie","śląskie"
"Pietrzykowice Żywieckie ","śląskie"
"Strzałkowo","wielkopolskie"
"Strzałkowo ","wielkopolskie"
"Luzino","pomorskie"
"Luzino ","pomorskie"
"Gościcino Wejherowskie","pomorskie"
"Gościcino Wejherowskie ","pomorskie"
"Oleśnica Rataje","dolnośląskie"
"Oleśnica Rataje ","dolnośląskie"
"Szczedrzykowice","dolnośląskie"
"Szczedrzykowice ","dolnośląskie"
"Jaśkowice Legnickie","dolnośląskie"
"Jaśkowice Legnickie ","dolnośląskie"
"Konin Zachód","wielkopolskie"
"Konin Zachód ","wielkopolskie"
"Przedmoście Święte","dolnośląskie"
"Przedmoście Święte ","dolnośląskie"
"Mrozów","dolnośląskie"
"Mrozów ","dolnośląskie"
"Zgierz Jaracza","łódzkie"
"Zgierz Jaracza ","łódzkie"
"Wrocław Żerniki","dolnośląskie"
"Wrocław Żerniki ","dolnośląskie"
"Kalety","śląskie"
"Kalety ","śląskie"
"Miasteczko Śląskie","śląskie"
"Miasteczko Śląskie ","śląskie"
"Bolesławiec","dolnośląskie"
"Bolesławiec ","dolnośląskie"
"Czersk","pomorskie"
"Czersk ","pomorskie"
"Głowno","łódzkie"
"Głowno ","łódzkie"
"Stryków","łódzkie"
"Stryków ","łódzkie"
"Małowice Wołowskie","dolnośląskie"
"Małowice Wołowskie ","dolnośląskie"
"Orzeszków","dolnośląskie"
"Orzeszków ","dolnośląskie"
"Bardo Śląskie","dolnośląskie"
"Bardo Śląskie ","dolnośląskie"
"Świdnica Zawiszów","dolnośląskie"
"Świdnica Zawiszów ","dolnośląskie"
"Stalowa Wola Rozwadów","podkarpackie"
"Stalowa Wola Rozwadów ","podkarpackie"
"Gorzkowice","łódzkie"
"Gorzkowice ","łódzkie"
"Szepietowo","podlaskie"
"Szepietowo ","podlaskie"
"Boreczek","dolnośląskie"
"Boreczek ","dolnośląskie"
"Żórawina","dolnośląskie"
"Żórawina ","dolnośląskie"
"Libiąż","małopolskie"
"Libiąż ","małopolskie"
"Chełmek","małopolskie"
"Chełmek ","małopolskie"
"Gorzów Chrzanowski","małopolskie"
"Gorzów Chrzanowski ","małopolskie"
"Chrzanów","małopolskie"
"Chrzanów ","małopolskie"
"Mietków","dolnośląskie"
"Mietków ","dolnośląskie"
"Glinnik","łódzkie"
"Glinnik ","łódzkie"
"Spławie","wielkopolskie"
"Spławie ","wielkopolskie"
"Kawnice","wielkopolskie"
"Kawnice ","wielkopolskie"
"Cienin Kościelny","wielkopolskie"
"Cienin Kościelny ","wielkopolskie"
"Wólka","wielkopolskie"
"Wólka ","wielkopolskie"
"Otoczna","wielkopolskie"
"Otoczna ","wielkopolskie"
"Gutowo Wielkopolskie","wielkopolskie"
"Gutowo Wielkopolskie ","wielkopolskie"
"Cienin","wielkopolskie"
"Cienin ","wielkopolskie"
"Drawski Młyn","wielkopolskie"
"Drawski Młyn ","wielkopolskie"
"Gliwice Łabędy","śląskie"
"Gliwice Łabędy ","śląskie"
"Jaworzno Ciężkowice","śląskie"
"Jaworzno Ciężkowice ","śląskie"
"Sieradz Męka","łódzkie"
"Sieradz Męka ","łódzkie"
"Sieradz Warta","łódzkie"
"Sieradz Warta ","łódzkie"
"Męcka Wola","łódzkie"
"Męcka Wola ","łódzkie"
"Nowy Sącz","małopolskie"
"Nowy Sącz ","małopolskie"
"Strzebielino Morskie","pomorskie"
"Strzebielino Morskie ","pomorskie"
"Bożepole Wielkie","pomorskie"
"Bożepole Wielkie ","pomorskie"
"Sierpc","mazowieckie"
"Sierpc ","mazowieckie"
"Godętowo","pomorskie"
"Godętowo ","pomorskie"
"Lębork Mosty","pomorskie"
"Lębork Mosty ","pomorskie"
"Chełmża","kujawsko-pomorskie"
"Chełmża ","kujawsko-pomorskie"
"Zwardoń","śląskie"
"Zwardoń ","śląskie"
"Strzelce Opolskie","opolskie"
"Strzelce Opolskie ","opolskie"
"Gryfów Śląski","dolnośląskie"
"Gryfów Śląski ","dolnośląskie"
"Żakowice Południowe","śląskie"
"Żakowice Południowe ","śląskie"
"Żagań","lubuskie"
"Żagań ","lubuskie"
"Bratoszewice","łódzkie"
"Bratoszewice ","łódzkie"
"Łopuchowo","wielkopolskie"
"Łopuchowo ","wielkopolskie"
"Zgierz Rudunki","łódzkie"
"Zgierz Rudunki ","łódzkie"
"Smardzew","łódzkie"
"Smardzew ","łódzkie"
"Glinnik Wieś","łódzkie"
"Glinnik Wieś ","łódzkie"
"Swędów","łódzkie"
"Swędów ","łódzkie"
"Gomunice","łódzkie"
"Gomunice ","łódzkie"
"Dobryszyce koło Radomska","łódzkie"
"Dobryszyce koło Radomska ","łódzkie"
"Rozprza","łódzkie"
"Rozprza ","łódzkie"
"Milejów","łódzkie"
"Milejów ","łódzkie"
"Wilkoszewice","łódzkie"
"Wilkoszewice ","łódzkie"
"Luciążanka","łódzkie"
"Luciążanka ","łódzkie"
"Gorzędów","łódzkie"
"Gorzędów ","łódzkie"
"Kamieńsk","łódzkie"
"Kamieńsk ","łódzkie"
"Szklarska Poręba Górna","dolnośląskie"
"Szklarska Poręba Górna ","dolnośląskie"
"Zielona Góra Stary Kisielin","lubuskie"
"Zielona Góra Stary Kisielin ","lubuskie"
"Zielona Góra Nowy Kisielin","lubuskie"
"Zielona Góra Nowy Kisielin ","lubuskie"
"Niedoradz","lubuskie"
"Niedoradz ","lubuskie"
"Świdnik Wschód","lubelskie"
"Świdnik Wschód ","lubelskie"
"Kanie","lubelskie"
"Kanie ","lubelskie"
"Roszkowo Wągrowieckie","wielkopolskie"
"Roszkowo Wągrowieckie ","wielkopolskie"
"Przysieczyn","wielkopolskie"
"Przysieczyn ","wielkopolskie"
"Wałbrzych Centrum","dolnośląskie"
"Wałbrzych Centrum ","dolnośląskie"
"Łopuchowo Osiedle","wielkopolskie"
"Łopuchowo Osiedle ","wielkopolskie"
"Płyćwia","mazowieckie"
"Płyćwia ","mazowieckie"
"Sitkówka Nowiny","świętokrzyskie"
"Sitkówka Nowiny ","świętokrzyskie"
"Kielce Białogon","świętokrzyskie"
"Kielce Białogon ","świętokrzyskie"
"Kielce Słowik","świętokrzyskie"
"Kielce Słowik ","świętokrzyskie"
"Chociwel","zachodniopomorskie"
"Chociwel ","zachodniopomorskie"
"Gdańsk Lipce","pomorskie"
"Gdańsk Lipce ","pomorskie"
"Raszowa","opolskie"
"Raszowa ","opolskie"
"Miały","wielkopolskie"
"Miały ","wielkopolskie"
"Przywory Opolskie","opolskie"
"Przywory Opolskie ","opolskie"
"Górażdże","opolskie"
"Górażdże ","opolskie"
"Mokrz","opolskie"
"Mokrz ","opolskie"
"Jasiona","opolskie"
"Jasiona ","opolskie"
"Opole Grotowice","opolskie"
"Opole Grotowice ","opolskie"
"Sulechów","lubuskie"
"Sulechów ","lubuskie"
"Babimost","lubuskie"
"Babimost ","lubuskie"
"Stęszew","wielkopolskie"
"Stęszew ","wielkopolskie"
"Szreniawa","wielkopolskie"
"Szreniawa ","wielkopolskie"
"Wiry","wielkopolskie"
"Wiry ","wielkopolskie"
"Trzebaw Rosnówko","wielkopolskie"
"Trzebaw Rosnówko ","wielkopolskie"
"Zawadówka","lubelskie"
"Zawadówka ","lubelskie"
"Grodzisk Wielkopolski","wielkopolskie"
"Grodzisk Wielkopolski ","wielkopolskie"
"Granowo","wielkopolskie"
"Granowo ","wielkopolskie"
"Ptaszkowo","wielkopolskie"
"Ptaszkowo ","wielkopolskie"
"Zebrzydowa","dolnośląskie"
"Zebrzydowa ","dolnośląskie"
"Kotowo","wielkopolskie"
"Kotowo ","wielkopolskie"
"Grąblewo","wielkopolskie"
"Grąblewo ","wielkopolskie"
"Strykowo Poznańskie","wielkopolskie"
"Strykowo Poznańskie ","wielkopolskie"
"Parkowo","wielkopolskie"
"Parkowo ","wielkopolskie"
"Rożnowo","wielkopolskie"
"Rożnowo ","wielkopolskie"
"Pstroszyce","małopolskie"
"Pstroszyce ","małopolskie"
"Czerwieńsk","lubuskie"
"Czerwieńsk ","lubuskie"
"Miłobądz","pomorskie"
"Miłobądz ","pomorskie"
"Zgorzelec Miasto","dolnośląskie"
"Zgorzelec Miasto ","dolnośląskie"
"Pieńsk","dolnośląskie"
"Pieńsk ","dolnośląskie"
"Sobolew","mazowieckie"
"Sobolew ","mazowieckie"
"Kielce Piaski","świętokrzyskie"
"Kielce Piaski ","świętokrzyskie"
"Zagnańsk","świętokrzyskie"
"Zagnańsk ","świętokrzyskie"
"Tumlin","świętokrzyskie"
"Tumlin ","świętokrzyskie"
"Łączna","świętokrzyskie"
"Łączna ","świętokrzyskie"
"Suchedniów Północny","świętokrzyskie"
"Suchedniów Północny ","świętokrzyskie"
"Skarżysko Zachodnie","świętokrzyskie"
"Skarżysko Zachodnie ","świętokrzyskie"
"Berezów","podkarpackie"
"Berezów ","podkarpackie"
"Przyłęk Duży","mazowieckie"
"Przyłęk Duży ","mazowieckie"
"Maków","mazowieckie"
"Maków ","mazowieckie"
"Krosnowa","mazowieckie"
"Krosnowa ","mazowieckie"
"Dąbrowice Skierniewickie","łódzkie"
"Dąbrowice Skierniewickie ","łódzkie"
"Wągry","łódzkie"
"Wągry ","łódzkie"
"Jaszczów","lubelskie"
"Jaszczów ","lubelskie"
"Minkowice","lubelskie"
"Minkowice ","lubelskie"
"Witaszyce","wielkopolskie"
"Witaszyce ","wielkopolskie"
"Kotlin","wielkopolskie"
"Kotlin ","wielkopolskie"
"Bronów","wielkopolskie"
"Bronów ","wielkopolskie"
"Biniew","wielkopolskie"
"Biniew ","wielkopolskie"
"Taczanów","wielkopolskie"
"Taczanów ","wielkopolskie"
"Jarosty","łódzkie"
"Jarosty ","łódzkie"
"Moszczenica","łódzkie"
"Moszczenica ","łódzkie"
"Baby","łódzkie"
"Baby ","łódzkie"
"Wolbórka","łódzkie"
"Wolbórka ","łódzkie"
"Rokiciny","łódzkie"
"Rokiciny ","łódzkie"
"Łaznów","łódzkie"
"Łaznów ","łódzkie"
"Chrusty Nowe","łódzkie"
"Chrusty Nowe ","łódzkie"
"Smardzów Wrocławski","dolnośląskie"
"Smardzów Wrocławski ","dolnośląskie"
"Iwiny","dolnośląskie"
"Iwiny ","dolnośląskie"
"Węgry","dolnośląskie"
"Węgry ","dolnośląskie"
"Warkocz","dolnośląskie"
"Warkocz ","dolnośląskie"
"Podzamcze","dolnośląskie"
"Podzamcze ","dolnośląskie"
"Dominów","lubelskie"
"Dominów ","lubelskie"
"Biskupice","lubelskie"
"Biskupice ","lubelskie"
"Wólka Kańska","lubelskie"
"Wólka Kańska ","lubelskie"
"Bojanowo","wielkopolskie"
"Bojanowo ","wielkopolskie"
"Czeremcha","podlaskie"
"Czeremcha ","podlaskie"
"Zalesie Krasieńskie","podkarpackie"
"Zalesie Krasieńskie ","podkarpackie"
"Domaniewice","łódzkie"
"Domaniewice ","łódzkie"
"Munina","podkarpackie"
"Munina ","podkarpackie"
"Włoszczowa","świętokrzyskie"
"Włoszczowa ","świętokrzyskie"
"Prabuty","pomorskie"
"Prabuty ","pomorskie"
"Choszczno","zachodniopomorskie"
"Choszczno ","zachodniopomorskie"
"Mława Miasto","mazowieckie"
"Mława Miasto ","mazowieckie"
"Nysa","opolskie"
"Nysa ","opolskie"
"Pełkinie","podkarpackie"
"Pełkinie ","podkarpackie"
"Opoczno Południe","łódzkie"
"Opoczno Południe ","łódzkie"
"Ostróda","warmińsko-mazurskie"
"Ostróda ","warmińsko-mazurskie"
"Łódź Andrzejów Szosa","łódzkie"
"Łódź Andrzejów Szosa ","łódzkie"
"Władysławowo","pomorskie"
"Władysławowo ","pomorskie"
"Łódź Olechów Wschód","łódzkie"
"Łódź Olechów Wschód ","łódzkie"
"Łódź Olechów Wiadukt","łódzkie"
"Łódź Olechów Wiadukt ","łódzkie"
"Łódź Olechów Zachód","łódzkie"
"Łódź Olechów Zachód ","łódzkie"
"Dziewule","lubelskie"
"Dziewule ","lubelskie"
"Siedlce Wschodnie","mazowieckie"
"Siedlce Wschodnie ","mazowieckie"
"Radomyśl","lubelskie"
"Radomyśl ","lubelskie"
"Kosiorki","mazowieckie"
"Kosiorki ","mazowieckie"
"Białki Siedleckie","mazowieckie"
"Białki Siedleckie ","mazowieckie"
"Borki-Kosy","mazowieckie"
"Borki-Kosy ","mazowieckie"
"Krynka Łukowska","lubelskie"
"Krynka Łukowska ","lubelskie"
"Stary Sącz","małopolskie"
"Stary Sącz ","małopolskie"
"Wyrzysk Osiek","wielkopolskie"
"Wyrzysk Osiek ","wielkopolskie"
"Rytro","małopolskie"
"Rytro ","małopolskie"
"Rydzyna","wielkopolskie"
"Rydzyna ","wielkopolskie"
"Kaczkowo","wielkopolskie"
"Kaczkowo ","wielkopolskie"
"Garwolin","mazowieckie"
"Garwolin ","mazowieckie"
"Wola Rowska","mazowieckie"
"Wola Rowska ","mazowieckie"
"Ruda Talubska","mazowieckie"
"Ruda Talubska ","mazowieckie"
"Łaskarzew","mazowieckie"
"Łaskarzew ","mazowieckie"
"Leokadia","mazowieckie"
"Leokadia ","mazowieckie"
"Piwniczna-Zdrój","małopolskie"
"Piwniczna-Zdrój ","małopolskie"
"Smętowo","pomorskie"
"Smętowo ","pomorskie"
"Chociszew","łódzkie"
"Chociszew ","łódzkie"
"Zgierz Kontrewers","łódzkie"
"Zgierz Kontrewers ","łódzkie"
"Jedlicze koło Zgierza","łódzkie"
"Jedlicze koło Zgierza ","łódzkie"
"Grotniki","łódzkie"
"Grotniki ","łódzkie"
"Chełmek Wołowski","dolnośląskie"
"Chełmek Wołowski ","dolnośląskie"
"Ozorków Nowe Miasto","łódzkie"
"Ozorków Nowe Miasto ","łódzkie"
"Imbramowice","dolnośląskie"
"Imbramowice ","dolnośląskie"
"Głogów Huta","lubuskie"
"Głogów Huta ","lubuskie"
"Głogów Wróblin","lubuskie"
"Głogów Wróblin ","lubuskie"
"Brzeg Głogowski","lubuskie"
"Brzeg Głogowski ","lubuskie"
"Czerna","dolnośląskie"
"Czerna ","dolnośląskie"
"Kamień Łowicki","łódzkie"
"Kamień Łowicki ","łódzkie"
"Szczecin Podjuchy","zachodniopomorskie"
"Szczecin Podjuchy ","zachodniopomorskie"
"Daleszewo","zachodniopomorskie"
"Daleszewo ","zachodniopomorskie"
"Czepino","zachodniopomorskie"
"Czepino ","zachodniopomorskie"
"Leńcze","małopolskie"
"Leńcze ","małopolskie"
"Radziszów","małopolskie"
"Radziszów ","małopolskie"
"Wola Radziszowska Lipki","małopolskie"
"Wola Radziszowska Lipki ","małopolskie"
"Wola Radziszowska","małopolskie"
"Wola Radziszowska ","małopolskie"
"Rzozów Centrum","małopolskie"
"Rzozów Centrum ","małopolskie"
"Rzozów","małopolskie"
"Rzozów ","małopolskie"
"Radziszów Centrum","małopolskie"
"Radziszów Centrum ","małopolskie"
"Podolany","małopolskie"
"Podolany ","małopolskie"
"Krzepów","dolnośląskie"
"Krzepów ","dolnośląskie"
"Biały Dunajec","małopolskie"
"Biały Dunajec ","małopolskie"
"Puck","pomorskie"
"Puck ","pomorskie"
"Domaniewice Centrum","łódzkie"
"Domaniewice Centrum ","łódzkie"
"Przytkowice","małopolskie"
"Przytkowice ","małopolskie"
"Szaflary","małopolskie"
"Szaflary ","małopolskie"
"Szaflary Centrum","małopolskie"
"Szaflary Centrum ","małopolskie"
"Bańska Niżna","małopolskie"
"Bańska Niżna ","małopolskie"
"Ulikowo","zachodniopomorskie"
"Ulikowo ","zachodniopomorskie"
"Ziębice","dolnośląskie"
"Ziębice ","dolnośląskie"
"Poronin Misiagi","małopolskie"
"Poronin Misiagi ","małopolskie"
"Wyszyny","wielkopolskie"
"Wyszyny ","wielkopolskie"
"Stupsk Mazowiecki","mazowieckie"
"Stupsk Mazowiecki ","mazowieckie"
"Konopki","mazowieckie"
"Konopki ","mazowieckie"
"Krośnice Mazowieckie","mazowieckie"
"Krośnice Mazowieckie ","mazowieckie"
"Czeruchy","zachodniopomorskie"
"Czeruchy ","zachodniopomorskie"
"Międzyzdroje","zachodniopomorskie"
"Międzyzdroje ","zachodniopomorskie"
"Świnoujście","zachodniopomorskie"
"Świnoujście ","zachodniopomorskie"
"Tuchów","małopolskie"
"Tuchów ","małopolskie"
"Bogoniowice Ciężkowice","małopolskie"
"Bogoniowice Ciężkowice ","małopolskie"
"Sierpów","łódzkie"
"Sierpów ","łódzkie"
"Drzewica","łódzkie"
"Drzewica ","łódzkie"
"Łódź Zarzew","łódzkie"
"Łódź Zarzew ","łódzkie"
"Bielany Wrocławskie","dolnośląskie"
"Bielany Wrocławskie ","dolnośląskie"
"Wrocław Partynice","dolnośląskie"
"Wrocław Partynice ","dolnośląskie"
"Kobierzyce","dolnośląskie"
"Kobierzyce ","dolnośląskie"
"Wodzisław Śląski Radlin","śląskie"
"Wodzisław Śląski Radlin ","śląskie"
"Rybnik Rymer","śląskie"
"Rybnik Rymer ","śląskie"
"Radlin Obszary","śląskie"
"Radlin Obszary ","śląskie"
"Międzyrzec Podlaski","lubelskie"
"Międzyrzec Podlaski ","lubelskie"
"Biała Podlaska","lubelskie"
"Biała Podlaska ","lubelskie"
"Rokitki","dolnośląskie"
"Rokitki ","dolnośląskie"
"Zegrze Południowe","mazowieckie"
"Zegrze Południowe ","mazowieckie"
"Wieliszew Centrum","mazowieckie"
"Wieliszew Centrum ","mazowieckie"
"Jastrząb","mazowieckie"
"Jastrząb ","mazowieckie"
"Rożki","mazowieckie"
"Rożki ","mazowieckie"
"Radom Południowy","mazowieckie"
"Radom Południowy ","mazowieckie"
"Szydłowiec","mazowieckie"
"Szydłowiec ","mazowieckie"
"Lipowe Pole","mazowieckie"
"Lipowe Pole ","mazowieckie"
"Gąsawy Plebańskie","mazowieckie"
"Gąsawy Plebańskie ","mazowieckie"
"Wola Lipieniecka","mazowieckie"
"Wola Lipieniecka ","mazowieckie"
"Ruda Wielka","mazowieckie"
"Ruda Wielka ","mazowieckie"
"Życzyn","mazowieckie"
"Życzyn ","mazowieckie"
"Wygoda","mazowieckie"
"Wygoda ","mazowieckie"
"Mika","mazowieckie"
"Mika ","mazowieckie"
"Grabniak","mazowieckie"
"Grabniak ","mazowieckie"
"Rokitnia Stara","mazowieckie"
"Rokitnia Stara ","mazowieckie"
"Pionki","mazowieckie"
"Pionki ","mazowieckie"
"Jedlnia-Letnisko","mazowieckie"
"Jedlnia-Letnisko ","mazowieckie"
"Jedlnia Kościelna","mazowieckie"
"Jedlnia Kościelna ","mazowieckie"
"Dąbrówka Zabłotnia","mazowieckie"
"Dąbrówka Zabłotnia ","mazowieckie"
"Rajec Poduchowny","mazowieckie"
"Rajec Poduchowny ","mazowieckie"
"Groszowice Wrzosów","opolskie"
"Groszowice Wrzosów ","opolskie"
"Antoniówka","mazowieckie"
"Antoniówka ","mazowieckie"
"Witonia","łódzkie"
"Witonia ","łódzkie"
"Rakoniewice","wielkopolskie"
"Rakoniewice ","wielkopolskie"
"Gawrony","wielkopolskie"
"Gawrony ","wielkopolskie"
"Ruchocice","wielkopolskie"
"Ruchocice ","wielkopolskie"
"Drzymałowo","wielkopolskie"
"Drzymałowo ","wielkopolskie"
"Kępno","wielkopolskie"
"Kępno ","wielkopolskie"
"Hel","pomorskie"
"Hel ","pomorskie"
"Chabówka Stadion","małopolskie"
"Chabówka Stadion ","małopolskie"
"Jurata","pomorskie"
"Jurata ","pomorskie"
"Jastarnia","pomorskie"
"Jastarnia ","pomorskie"
"Kuźnica (Hel)","pomorskie"
"Kuźnica (Hel) ","pomorskie"
"Chałupy","pomorskie"
"Chałupy ","pomorskie"
"Rostarzewo","wielkopolskie"
"Rostarzewo ","wielkopolskie"
"Adamowo","wielkopolskie"
"Adamowo ","wielkopolskie"
"Tłoki","wielkopolskie"
"Tłoki ","wielkopolskie"
"Zaosie","mazowieckie"
"Zaosie ","mazowieckie"
"Wykno","mazowieckie"
"Wykno ","mazowieckie"
"Skrzynki","mazowieckie"
"Skrzynki ","mazowieckie"
"Nowa Sucha","mazowieckie"
"Nowa Sucha ","mazowieckie"
"Kęszyce","mazowieckie"
"Kęszyce ","mazowieckie"
"Kornelin","mazowieckie"
"Kornelin ","mazowieckie"
"Jasionna Łowicka","łódzkie"
"Jasionna Łowicka ","łódzkie"
"Bednary","łódzkie"
"Bednary ","łódzkie"
"Mysłaków","podkarpackie"
"Mysłaków ","podkarpackie"
"Żurawica Rozrządowa","podkarpackie"
"Żurawica Rozrządowa ","podkarpackie"
"Żurawica Osobowa","podkarpackie"
"Żurawica Osobowa ","podkarpackie"
"Walawa","podkarpackie"
"Walawa ","podkarpackie"
"Sośnica Jarosławska","podkarpackie"
"Sośnica Jarosławska ","podkarpackie"
"Niziny","podkarpackie"
"Niziny ","podkarpackie"
"Ostrów koło Radymna","podkarpackie"
"Ostrów koło Radymna ","podkarpackie"
"Słotwiny","dolnośląskie"
"Słotwiny ","dolnośląskie"
"Marciszów","dolnośląskie"
"Marciszów ","dolnośląskie"
"Boguszów-Gorce","dolnośląskie"
"Boguszów-Gorce ","dolnośląskie"
"Łowicz Przedmieście","łódzkie"
"Łowicz Przedmieście ","łódzkie"
"Wierzchucin","kujawsko-pomorskie"
"Wierzchucin ","kujawsko-pomorskie"
"Nędza Wieś","śląskie"
"Nędza Wieś ","śląskie"
"Górki Śląskie","śląskie"
"Górki Śląskie ","śląskie"
"Sumina","śląskie"
"Sumina ","śląskie"
"Szymocice","śląskie"
"Szymocice ","śląskie"
"Starachowice Wschodnie","świętokrzyskie"
"Starachowice Wschodnie ","świętokrzyskie"
"Ostrowiec Świętokrzyski","świętokrzyskie"
"Ostrowiec Świętokrzyski ","świętokrzyskie"
"Góra Kalwaria","mazowieckie"
"Góra Kalwaria ","mazowieckie"
"Czachówek Wschodni","mazowieckie"
"Czachówek Wschodni ","mazowieckie"
"Bytom","śląskie"
"Bytom ","śląskie"
"Skarżysko Kościelne","świętokrzyskie"
"Skarżysko Kościelne ","świętokrzyskie"
"Ostaszewo Toruńskie","kujawsko-pomorskie"
"Ostaszewo Toruńskie ","kujawsko-pomorskie"
"Łysomice","kujawsko-pomorskie"
"Łysomice ","kujawsko-pomorskie"
"Nakło nad Notecią","kujawsko-pomorskie"
"Nakło nad Notecią ","kujawsko-pomorskie"
"Budzyń","wielkopolskie"
"Budzyń ","wielkopolskie"
