Nr_tabeli;Nazwa_tabeli;Parametr;Jedostka_miary;Rok;Wartoœæ;Source
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2018;1969,997067;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2019;1958,415735;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2020;2118,336601;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2021;2339,182257;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2022;1968,187094;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2023;2407,020943;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2000;5;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2005;135,47;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2010;1664;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2011;3205;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2012;4747;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2013;6004;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2014;7676;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2015;10858;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2016;12588;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2017;14909;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2018;12798,79183;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2019;15106,75868;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2020;15800,04892;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2021;16233,54784;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2022;19779,53776;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2023;24176,3562;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2000;.;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2005;.;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2010;.;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2011;.;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2012;1;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2013;1;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2014;7;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2015;57;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2016;124;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2017;165;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2018;300,48801;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2019;710,672979;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2020;1957,916229;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2021;3934,448372;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2022;8309,670007;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - ogniwa fotowoltaiczne;GWh;2023;11107,08918;fotowoltaika
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2000;86211;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2005;87402;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2010;87799;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2011;87326;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2012;80528;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2013;81568;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2014;76162;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2015;77693;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2016;79550;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2017;79022;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2018;81256,5623;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2019;76538,45823;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2020;69667,75208;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2021;82142,79899;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2022;77408,53319;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel kamienny ;GWh;2023;64273,97831;wêgiel_kamienny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2000;49677;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2005;54758;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2010;48651;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2011;52529;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2012;54054;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2013;56150;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2014;53365;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2015;52825;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2016;50920;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2017;52166;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2018;49331,47441;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2019;41638,8215;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2020;38147,67892;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2021;45834,4634;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2022;47131,40646;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: wêgiel brunatny ;GWh;2023;34581,33702;wêgiel_brunatny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2000;928;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2005;5181;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2010;4797;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2011;5821;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2012;6259;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2013;5270;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2014;5329;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2015;6405;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2016;7924;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2017;10141;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2018;12709,29072;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2019;15131,19722;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2020;16891,18042;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2021;15848,44299;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2022;11884,04762;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: gaz ziemny ;GWh;2023;17079,00611;gaz_ziemny
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2000;6035;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2005;5748;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2010;5522;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2011;4735;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2012;4419;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2013;4526;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2014;4361;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2015;5342;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2016;5434;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2017;5087;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2018;5162,007435;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2019;5326,466;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2020;5109,558017;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2021;5344,731572;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2022;5656,214022;pozosta³e
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: pozosta³e (paliwa ciek³e, gazy przemys³owe, nieorganiczne odpady przemys³owe i komunalne, z wody przepompowanej);GWh;2023;5474,579079;pozosta³e
