x,y,clusterId,clusterCount,extent_xmin,extent_ymin,extent_xmax,extent_ymax
497960.6087073856,272465.68512414594,0,59843,479161.4956,247455.83620000072,521732.48929999955,295449.0756999999
592934.050831351,647006.6042398252,1,11719,574465.8909,624234.8549000006,618815.6113999998,669617.8880000003
567491.7456745947,241314.24318441201,2,26084,546954.6281000003,215027.1163999997,596679.8672000002,267382.9481000006
638733.3298697529,488468.04650465515,3,24105,614372.0617000004,463864.7764999997,665229.9647000004,518208.4497999996
358017.6540802552,364196.46103826346,4,20795,334497.0937999999,337041.5209999997,382308.3568000002,388561.6864
812999.3140916381,296644.412412558,5,11515,791782.9029000001,276390.70570000075,832797.6421999997,316766.2122000009
473911.1533461406,269503.3444517413,6,14267,446356.1524,245557.2547999993,485636.52419999987,290533.7383999992
252244.04212210124,400006.0139893446,7,10660,229946.34549999982,374274.82850000076,271570.14969999995,429768.4918000009
532161.7829548904,433816.99181911483,8,16150,500904.4682,412141.00129999965,555751.7588999998,461058.33550000004
459703.87675748614,681893.9763476491,9,8957,435831.7876000004,657522.8509,481248.56510000024,701104.7533999998
510101.79805830505,325588.0057854391,10,13275,483655.12239999976,303121.03759999946,533195.6557,350349.4625000004
247600.7772825651,548155.5788357798,11,9114,221587.2533999998,525781.9074000008,270187.3400999997,562351.6214000005
358148.5012033525,502780.79739582684,12,21208,325834.2428000001,480791.66139999963,387283.6023000004,533053.4776000008
474672.67571183504,238979.51972020362,13,17769,454258.5321000004,217320.05000000075,502617.6487999996,256799.59359999932
388858.57285409304,472702.14120167337,14,9382,371635.6821999997,448358.3100000005,412950.50769999996,497922.75769999996
746674.7344628306,378841.33395916846,15,12723,718921.5710000005,354166.4550000001,773132.5118000004,399674.87930000015
614085.0785266922,333129.1883717084,16,12000,592350.1710000001,309551.8694000002,636883.9433000004,355495.50840000063
497831.61510522215,219569.76081200186,17,8732,474342.17310000025,199261.57019999996,517837.83550000004,240879.73220000044
624760.9918524481,299911.640862312,18,7249,605037.9924999997,281228.99789999984,646454.4378000004,319241.3850999996
624399.8202407666,179970.89752241375,19,7955,599809.9495000001,160531.94170000032,645795.8201000001,202926.32840000093
455564.35396920686,512370.1136849781,20,5066,435116.5438000001,493137.70910000056,476562.75289999973,540672.7403999995
717927.9516613816,247379.74616640428,21,11189,693659.1037999997,218033.16259999946,741487.0157000003,268742.37969999947
370977.73459267576,388200.3733911192,22,5844,347111.2877000002,370592.71660000086,397101.1803000001,414668.37450000085
595931.9608569199,306424.46849795093,23,3953,576582.6152999997,286812.15210000053,606906.8178000003,323268.51630000025
395721.46470913384,374011.6464246512,24,4949,381566.28809999954,357400.4313999992,412054.84839999955,396451.23670000024
649079.410994056,314660.1762056488,25,8816,632361.9134,292325.32850000076,669079.0500999996,335145.8482000008
453372.758334451,746500.3883439859,26,6502,423410.52080000006,728616.0965999998,471225.14520000014,772032.8019999992
468869.772513481,717739.2565726546,27,8360,447753.6166000003,698256.7331000008,495504.88210000005,733172.5193000007
465949.5929987462,311849.95966927573,28,7258,436346.0058000004,289544.35009999946,487711.97559999954,328927.12069999985
687334.5300737956,301522.6313173365,29,10250,666790.0344000002,284130.60449999943,709437.8985000001,328586.75349999964
278948.019450357,382231.15784513595,30,4482,253276.19680000003,357905.2260999996,296632.89859999996,408855.5865000002
520759.40005481214,244315.57953099615,31,11295,495083.28949999996,220918.04069999978,541098.1966000004,265266.27720000036
352073.31919328764,476786.6131304807,32,8015,333385.75569999963,462808.5577000007,371812.32210000046,498312.5161000006
762211.0866601703,301730.9188409637,33,4233,738885.5549999997,283064.30450000055,787713.3751999997,324690.3431000002
371111.7031987551,610657.2562561675,34,3454,352737.50519999955,588690.5132999998,394096.9671,631911.9725000001
434929.5266713963,590203.4716602603,35,5765,412885.0900999997,565566.1830000002,459784.1882999996,617311.8521999996
388138.15789442597,344002.8061894813,36,5400,372482.87799999956,320140.54209999926,420470.9740000004,369227.9240000006
704726.8103856087,594707.4719563288,37,4030,682735.7589999996,578574.2918999996,730524.1668999996,614211.8090000004
612560.0727751576,470837.7893511776,38,12189,586256.6005999995,447299.9746000003,632728.0306000002,495389.8457999993
639805.4941408047,240652.56164829605,39,6661,619607.5406,212733.52889999934,663888.1276000002,266914.7047000006
304380.42585919873,370919.9396479882,40,5691,287122.8515999997,352681.0091999993,321474.8052000003,402030.98289999925
422335.9474402183,314997.9205431203,41,6686,401420.9358999999,288623.3076000009,446929.3602999998,336696.60639999993
759314.5196111858,702734.368336157,42,4461,734939.5493999999,674623.1834999993,781294.6458,723708.9960999992
682288.4104661717,447879.683640913,43,5519,658022.3032999998,428640.5067999996,702871.8490000004,471992.5173000004
769951.6198546218,219593.67768545344,44,5864,749136.4830999998,200033.56240000017,790966.0236999998,240127.20529999956
437292.5855747937,664572.7593495535,45,2908,417939.3309000004,641226.1326000001,452963.52749999985,679566.2170000002
544960.0414247918,267068.6343933527,46,5897,520996.3189000003,244512.86950000003,562956.4261999996,288218.4489999991
231849.9049059573,469709.2971935742,47,3844,212895.99870000035,452591.6517999992,258900.02799999993,491563.2686999999
801630.6849108111,324539.68202513846,48,4153,778506.0597000001,305013.38790000044,824302.4211999997,342806.6911999993
329676.42271460715,273750.2008401614,49,2978,311609.4216,250476.2072999999,348756.80759999994,297016.3407000005
522600.28590855224,279592.8198706443,50,2514,511564.0229000002,267602.9821000006,539387.9806000004,295803.75290000066
706056.8294431277,400817.49678863504,51,6300,678456.1385000004,381443.3747000005,726329.9190999996,418615.9330000002
371786.8379532219,735762.4702910669,52,2933,355460.8742000004,715782.9932000004,395827.85929999966,757448.4120000005
199559.62452105366,628877.9886705377,53,4840,189457.48510000017,614692.5271000005,219490.10170000046,653666.3914999999
638312.9947358303,458572.9626226861,54,5607,621513.9636000004,427853.5262000002,659274.4848999996,473159.0122999996
229374.0923794187,371163.6326034956,55,2546,217861.97439999972,347750.83070000075,246903.96019999962,389098.8008999992
778714.9644361826,592403.2549070007,56,4914,757463.1820999999,568393.4127999991,798786.9738999996,616256.1532000005
636231.2460840843,538053.0567413466,57,3952,609897.2691000002,518173.4779000003,660462.0311000003,559966.8295000009
666729.2968782469,342797.3181707408,58,4050,648391.6333999997,322431.04470000044,686161.8804000001,369122.05780000053
730479.6484827915,456221.2160080332,59,5689,705722.4080999997,433113.27529999986,752151.7962999996,482179.1503999997
535167.1894514258,633109.0814931978,60,2911,509296.6308000004,606597.7283999994,561513.3767999997,659478.5052000005
322342.7417053074,330682.45473294624,61,4993,297275.10780000035,310174.0962000005,342221.4282999998,353316.3848000001
460943.3761379203,616122.1231795638,62,3895,437340.35869999975,594758.3584000003,482743.92540000007,635043.3644999992
683021.1135518197,250610.49710855796,63,6567,665162.2604999999,230341.2072999999,708473.3481999999,271196.8384000007
810161.9383989515,553488.3809475002,64,2480,784771.2207000004,528835.3776999991,831262.5465000002,576153.6385999992
724022.1852525258,486723.9631800146,65,2732,699557.2829,475595.31340000033,748707.6283999998,506657.8662999999
263850.0980229927,455977.82588731643,66,3201,235886.30379999988,437774.9554999992,288226.66789999977,481541.8289999999
415880.6562414775,418362.5515449466,67,5333,394372.14070000034,393457.2430000007,441700.0789000001,438677.98029999994
379388.31247529463,516010.7452969546,68,2627,360210.92590000015,491963.19319999963,399920.0390999997,535623.0950000007
545550.0223111949,553033.7357477073,69,2769,517492.42119999975,535661.2628000006,564602.0821000002,576258.7207999993
293132.0272269447,330734.89736347244,70,2661,274481.0048000002,310889.69490000047,307584.9798999997,349568.10390000045
579851.7534349292,273840.559851322,71,3215,559082.5448000003,255517.35129999928,604040.7477000002,294649.01400000043
655477.646429928,508695.117230535,72,2633,633208.5703999996,488380.4717999995,676959.0969000002,521452.4032000005
647898.6258625234,392158.00808064186,73,6855,623437.0406999998,366084.79759999923,676606.0124000004,415816.3487
719991.9028759227,300512.2643533628,74,4743,702576.9028000003,279601.02160000056,744699.165,327064.6469999999
400596.33972439973,621379.6474049484,75,4082,370026.3936999999,604132.8447999991,419533.30599999987,643451.7741
581201.0305094853,392288.48746780015,76,3500,559935.8849,370563.5991999991,602947.6836999999,414595.92899999954
642333.9737987495,357558.55915073317,77,4638,626730.5970999999,337813.5529999994,664213.6913000001,377449.8348999992
669281.5113639558,533300.0440638362,78,4181,656135.8784999996,512500.18810000084,685288.3727000002,554191.8551000003
718244.0957985756,206729.32365891605,79,7509,694925.9117,185210.51559999958,741146.6153999995,230966.78749999963
597142.2164288848,364697.616003398,80,3237,579726.1003999999,348945.0240000002,615827.6431999998,389816.5508999992
782861.6314749903,473553.58730638894,81,2739,758836.3184000002,447029.5086000003,808871.0812999997,497996.2269000001
429762.6194186488,255308.26658919358,82,4960,400310.8990000002,235266.98870000057,449852.98039999977,281952.5048999991
439460.0953998095,434010.87351322745,83,3145,420611.8650000002,410227.91530000046,459336.62370000035,456802.7725000009
548340.2846513122,392060.7914763467,84,2896,527210.7642000001,368704.13040000014,565462.9307000004,410666.6905000005
681919.7661749122,694396.475282659,85,2001,660078.4521000003,671588.1467000004,708426.3210000005,717803.3718999997
604677.3713505203,401830.0628891261,86,1922,587365.9677999998,376709.93700000085,623535.4485999998,425092.9079
690685.9245673295,425186.82637455733,87,4123,665040.9194,411491.59640000015,713597.2758,443141.37769999914
673548.7785403713,481484.9132086032,88,4045,654027.7484999998,461883.44329999946,692162.6727,505300.8707999997
307646.88124480995,403169.2769829611,89,2553,289982.35080000013,386528.10229999945,323705.7324999999,415549.91110000014
415352.0530814255,672320.1411833764,90,1179,401434.93180000037,660092.8772,425977.1261999998,687685.3289999999
432192.2518284838,498386.8058057969,91,4399,412167.8032999998,480359.50320000015,453129.00629999954,521043.5262000002
210095.0775060127,456995.6519426646,92,2079,198163.31630000006,435113.58770000003,229970.59300000034,474787.8961999994
315953.7408335989,441683.2715348282,93,4393,292033.26499999966,415549.91110000014,338979.14439999964,468466.6835999992
755856.1002418242,437691.9924401031,94,2324,735587.1793,419363.2937000003,775299.5376000004,459945.76029999927
549754.1819194746,516855.02747102303,95,4683,519729.5242999997,496611.1439999994,573715.7715999996,539900.0996000003
727035.9446902112,651695.5334050282,96,3361,708409.4754999997,626180.1937000006,753610.1028000005,679587.2164999992
470800.4220501499,488015.37819220393,97,2668,451593.0477999998,473758.36089999974,493093.6506000003,508673.11959999986
544207.2786882989,227606.541168479,98,3991,530150.5515000001,212445.82379999943,561127.1123000002,249167.38379999995
810331.7581268089,474643.26733511576,99,1216,795121.7233999996,448977.7503999993,817378.9622999998,487516.72169999965
741667.427846419,253054.56147948347,100,4957,717280.2111999998,230455.62450000085,757077.1067000004,278216.22509999946
633326.8574334563,208207.39706613446,101,2442,612193.2681999998,189066.12480000034,655281.8350999998,223465.54429999925
530993.7200391876,358490.21384487726,102,4851,505381.4506000001,331313.90410000086,559141.2687999997,380701.0194000006
751610.8931076239,406691.010786065,103,2361,731286.1040000003,396499.8729999997,770780.0080000004,431958.4364
231027.8454651787,641629.0571860117,104,1344,211000.1958999997,622209.3165000007,253313.0236999998,664351.3462000005
782232.6768548114,552245.625269428,105,1642,756326.5597000001,532383.2292999998,796405.2960999999,572294.2860000003
604054.1134574622,199851.6394168872,106,2191,586123.7655999996,178694.74230000004,613753.2796,216766.7620000001
575797.3106452557,329016.2085181751,107,4121,555593.6497,305182.3688999992,595319.3267999999,350783.659
740151.5573047851,230448.57374630982,108,1233,732755.5971999997,215558.0873000007,754235.2585000005,236831.86400000006
497789.28083305835,192009.20836941645,109,1697,487251.5800999999,177188.95519999973,512113.5636,206143.20849999972
585403.5061297845,494267.01994681766,110,4415,565482.6679999996,473621.1208999995,610480.1804,516225.03910000063
528244.7527672072,479417.71640589257,111,2342,505082.1645999998,460000.0,554879.5762,500633.5566000007
404075.38101443386,703218.9039390589,112,1933,381109.49430000037,676926.1341999993,415467.69319999963,730107.2103000004
725495.9349682693,348355.4451089491,113,3911,706693.4287,330240.0374999996,749371.2940999996,369847.6886
601571.1063342247,232094.39029809172,114,5607,580320.6375000002,209861.1623999998,625572.5334000001,252036.88309999928
315435.5974140053,706994.5610573094,115,1628,291858.36429999955,690310.4893999994,338979.14439999964,720183.6690999996
434551.5747392844,383598.74644332007,116,3271,412065.14470000006,364927.95079999976,454385.4863999998,407758.4606999997
571186.8227926777,165617.10549150046,117,3059,553713.8128000004,147791.0421999991,585478.9007000001,183732.92039999925
382337.9665648337,284202.5736208757,118,2946,352603.45550000016,268689.3309000004,410945.9550000001,300191.34699999914
671183.4481192272,275123.7262505684,119,3079,655010.2806000002,254669.03199999966,693705.6048999997,292068.98230000027
771695.8115968476,330399.70934607304,120,1808,754289.3115999997,316788.14839999937,784700.8233000003,350507.26019999944
806232.6516492397,368442.78994942986,121,3156,784349.4896,349771.74530000053,833282.0762,396227.5660999995
235225.524449315,615778.1557450533,122,1314,221166.35730000027,598583.3593000006,265819.06060000043,627373.4941000007
452594.3643440379,237968.99362707834,123,2105,441291.23759999964,228006.95849999972,461746.0565999998,253890.8970999997
556240.3107838801,361146.05560474074,124,1371,548717.3054999998,342682.01490000077,573338.6562000001,376626.57689999975
336859.2494719185,600034.7620360816,125,1225,320515.04420000035,583767.1039000005,354585.22080000024,618041.2326999996
729074.5566701195,325763.75905163365,126,1255,710919.3887,308698.5689000003,748770.1231000004,334184.36539999954
489741.0356222049,363410.6703067143,127,3202,468321.0521,342855.35909999907,507254.48089999985,382747.51410000026
639719.3172222616,623829.0238011662,128,1972,620074.0843000002,595296.8863999993,664946.4630000005,645345.8783999998
697123.3195014156,619832.9074381597,129,1554,674013.7520000003,608219.5875000004,715610.5552000003,634164.8314999994
734197.5756628574,571247.6580267758,130,4900,707040.3800999997,544248.6129000001,756751.0843000002,593350.2666999996
270834.97401179164,512456.0632191422,131,1959,248368.17470000032,491512.7639000006,288169.41810000036,534139.2716000006
222502.92457322104,663478.0131276851,132,773,206325.20540000033,651963.9331999999,238108.39749999996,674471.6788999997
604696.2743589251,667787.0378799993,133,1210,586233.5613000002,656424.6124000009,621829.0889999997,692983.4193999991
696968.4277772061,479733.9275007712,134,1167,687667.6021999996,460939.96839999966,709672.9956999999,497193.8764999993
702041.1604406355,275872.324953458,135,2675,686587.3447000002,266350.7982999999,719441.7101999996,286108.5843000002
496337.59070048167,528909.8429439574,136,2077,468920.44959999993,508824.21920000017,521999.56269999966,551016.8487
655543.0988736363,439668.8232400002,137,2090,641337.8168000001,417371.8613000009,666727.3918000003,461465.8878000006
483196.9944576282,574082.062774363,138,3179,459958.26910000015,554191.8551000003,504903.1057000002,599443.8661000002
524047.0297403535,217000.56508767416,139,1866,513734.8562000003,196905.74459999986,544223.9595999997,225926.7179000005
714194.9238465313,720172.8795319379,140,836,693868.3263999997,696620.0076000001,728432.4557999996,724200.8773999996
577890.6122132958,180792.21015894195,141,2136,550531.3228000002,165412.92420000024,601953.0141000003,199514.8060999997
678234.2540676513,393696.4117318643,142,2269,659404.0231999997,371982.0198999997,695283.3841000004,412266.16059999913
590930.8343839756,581411.7814146858,143,2465,570327.2527999999,566815.9900000002,613100.2308,598774.4368999992
332883.8869266014,398630.0943061978,144,1436,319929.1063000001,379984.13639999926,346512.5083999997,421639.30870000087
626892.5334805106,421256.82741338696,145,2114,609827.6486,395923.74159999937,640321.0181999998,444380.63120000064
360208.4187440762,322129.56220830674,146,2203,341421.9143000003,292721.53639999963,381942.0192999998,342239.5843000002
556200.3971502957,429340.5910651833,147,2539,531863.4699999997,405189.4684999995,581482.9582000002,453649.9872999992
362177.73577712063,575075.3166439061,148,1403,342092.11000000034,553688.1297999993,385311.9656999996,593872.2599999998
298357.599229249,421332.5740111662,149,2024,279915.6233000001,409985.8390999995,315695.7644999996,441651.40220000036
270400.73797514674,338004.8030492802,150,1875,254166.22499999963,326649.73330000043,284359.59130000044,354432.0368000008
611424.88486387,262878.3857676275,151,1943,594039.0256000003,241348.96059999987,639599.5153000001,280842.30289999954
645356.3867226094,334105.6958906084,152,575,642492.5585000003,330386.0201999992,650775.4752000002,338924.6721999999
342895.7961485175,344377.923832859,153,843,328084.3092,323474.7269000001,350791.02550000045,361910.26999999955
415889.8709902872,521350.0876980156,154,1915,398748.63889999967,502694.06069999933,439394.3798000002,538327.8228999991
503571.8035030687,413911.62175667885,155,2216,485281.26690000016,398924.04169999994,517130.50349999964,440478.7793000005
420981.3575424577,282770.5886001835,156,2181,398906.4193000002,268238.7831999995,439521.01209999993,298074.67610000074
673717.8405833854,596044.6038119902,157,1276,655096.5758999996,575300.7101000007,691404.8492999999,627217.0011
439864.62686964916,709889.8567901385,158,2738,420279.8010999998,683093.3145000003,454941.5027999999,727042.2965999991
706468.6965211523,512361.7734042395,159,2170,684725.1442999998,491257.78649999946,729383.5148999998,538878.1133999992
418056.25513831514,743829.0665054347,160,736,408418.7408999996,726440.6213000007,425946.5382000003,766375.2548999991
561475.2029550193,201593.5418083795,161,2530,539398.1441000002,170016.08669999987,587208.9412000002,217704.3557999991
417623.9547166775,452259.4211681262,162,1553,398247.13430000003,437302.14189999923,439593.3903000001,470460.91779999994
300262.0598144135,480291.04478749994,163,2352,284455.34169999976,453500.8474000003,327362.25659999996,498080.6459999997
414616.53490937897,569937.4068171734,164,2335,389222.15550000034,547841.8423999995,436346.0058000004,596719.0943999998
472504.55439441296,214322.9917620112,165,716,470964.5915999999,207494.40990000032,477597.2971000001,219757.85280000046
782163.8406674789,693075.4050865545,166,1190,769198.8505999995,670241.8016999997,793941.0179000003,713935.0277999993
603930.9906952787,556722.9083856352,167,1991,578705.8536999999,539375.1588000003,622416.9877000004,582288.0653000008
626687.594762053,511365.1829130155,168,1091,609913.0196000002,495839.6214000005,644435.2852999996,521885.1074999999
841961.0281183016,342552.9389021235,169,989,823696.7805000003,325798.79099999927,849987.1743999999,358082.69299999997
402526.3511971391,648389.2047910924,170,1538,379738.54580000043,633780.3248999994,431495.9439000003,671667.0899999999
759770.1133980869,511972.8742489591,171,1777,740354.6094000004,489188.62710000016,789275.6590999998,539763.7366000004
496238.17598438443,651736.6700442943,172,1332,471829.08299999963,634508.8665999994,519517.4112,668960.7698999997
389466.8895454902,426284.82660470565,173,1530,370804.6350999996,395114.52439999953,403749.02770000044,448404.2287000008
326835.8068430093,510059.66817143786,174,1502,309183.55979999993,491239.8233000003,338673.81460000016,530581.7140999995
532292.0749605604,697421.678842492,175,1605,500193.5257000001,677738.5477000009,552642.9945999999,720348.2420000006
485899.9410088632,623258.0234998959,176,959,466923.09449999966,608402.4247999992,501700.85639999993,640990.9945
450749.08117578813,259368.50178713741,177,793,443314.0864000004,251401.55680000037,458465.21669999976,273732.96079999954
771712.0291439726,275109.9955438211,178,1319,745054.0180000002,253832.64809999987,790988.9596999995,298992.62849999964
477072.33694691997,551362.4394554415,179,974,453234.16949999984,531966.8105999995,493605.2153000003,562833.1956999991
698751.6820973752,340572.76586658123,180,1562,682938.1656999998,321358.4572999999,711694.3189000003,361748.32430000044
456057.76786262245,355314.6336976717,181,2448,435820.7801999999,328796.80409999937,477160.6525999997,379566.50579999946
634934.6064855789,576871.998432295,182,1477,614146.3613999998,557620.2004000004,654363.1085000001,599008.4901
