Wojewodztwo,2021,2022
DOLNOŚLĄSKIE,7414.52,6562.04
KUJAWSKO-POMORSKIE,6416.55,5633.52
LUBELSKIE,6454.27,5646.97
LUBUSKIE,6510.28,5706.47
ŁÓDZKIE,6693.87,5903.19
MAŁOPOLSKIE,7263.39,6411.04
MAZOWIECKIE,8466.61,7508.56
OPOLSKIE,6629.61,5835.92
PODKARPACKIE,6182.05,5452.12
PODLASKIE,6487.81,5742.12
POMORSKIE,7093.28,6297.51
ŚLĄSKIE,7225.69,6388.82
ŚWIĘTOKRZYSKIE,6260.68,5505.49
WARMIŃSKO-MAZURSKIE,6152.89,5427.81
WIELKOPOLSKIE,6507.38,5789.84
ZACHODNIOPOMORSKIE,6586.26,5809.68
